contractSymbol,strike,lastPrice,bid,ask,impliedVolatility,expiry,option_type,market_price,spot_price,sigma,ticker,bs_price,mispricing,mispricing_pct
AAPL260803C00385000,385.0,0.09,0.0,0.17,0.4438532177734374,2026-08-03,call,0.085,333.0199890136719,0.2480367173288849,AAPL,0.00013175437377726043,-0.08486824562622275,-99.84499485437969
AAPL260803C00405000,405.0,0.03,0.0,0.28,0.5566450585937501,2026-08-03,call,0.14,333.0199890136719,0.2480367173288849,AAPL,1.3661933357390403e-07,-0.13999986338066644,-99.99990241476173
AAPL260805C00260000,260.0,64.48,71.35,75.3,0.710940390625,2026-08-05,call,73.32499999999999,333.0199890136719,0.2480367173288849,AAPL,73.34033944330724,0.015339443307254896,0.0209197999417046
AAPL260805C00265000,265.0,59.54,66.4,70.3,0.6723665576171877,2026-08-05,call,68.35,333.0199890136719,0.2480367173288849,AAPL,68.34650004985747,-0.0034999501425261315,-0.0051206293233740045
AAPL260805C00270000,270.0,54.62,61.6,65.1,0.6250037500000001,2026-08-05,call,63.35,333.0199890136719,0.2480367173288849,AAPL,63.352660920366304,0.0026609203663028325,0.00420034785525309
AAPL260805C00280000,280.0,41.7,51.55,55.2,0.5385788330078126,2026-08-05,call,53.375,333.0199890136719,0.2480367173288849,AAPL,53.365009979246565,-0.009990020753434692,-0.01871666651697366
AAPL260805C00282500,282.5,39.15,49.05,52.7,0.5151415673828125,2026-08-05,call,50.875,333.0199890136719,0.2480367173288849,AAPL,50.868138196228756,-0.006861803771244013,-0.013487574980332212
AAPL260805C00285000,285.0,41.85,46.6,50.5,0.5302781347656251,2026-08-05,call,48.55,333.0199890136719,0.2480367173288849,AAPL,48.371337608028796,-0.17866239197120137,-0.367996687891249
AAPL260805C00300000,300.0,32.32,32.35,36.0,0.6187782263183594,2026-08-05,call,34.175,333.0199890136719,0.2480367173288849,AAPL,33.41027509400055,-0.7647249059994436,-2.2376734630561628
AAPL260805C00302500,302.5,21.05,29.95,33.65,0.5964395825195312,2026-08-05,call,31.8,333.0199890136719,0.2480367173288849,AAPL,30.931312977677294,-0.8686870223227068,-2.7317201959833546
AAPL260805C00305000,305.0,26.81,27.45,30.85,0.5422409057617189,2026-08-05,call,29.15,333.0199890136719,0.2480367173288849,AAPL,28.46518467523771,-0.6848153247622903,-2.3492807024435347
AAPL260805C00310000,310.0,25.15,23.1,26.3,0.504765694580078,2026-08-05,call,24.700000000000003,333.0199890136719,0.2480367173288849,AAPL,23.602405045576802,-1.0975949544232009,-4.443704268919841
AAPL260805C00312500,312.5,23.49,21.45,24.1,0.4880422290039063,2026-08-05,call,22.775,333.0199890136719,0.2480367173288849,AAPL,21.228085339680092,-1.5469146603199064,-6.792160967376098
AAPL260805C00315000,315.0,20.45,19.35,22.0,0.4749198016357422,2026-08-05,call,20.675,333.0199890136719,0.2480367173288849,AAPL,18.911606839004037,-1.7633931609959639,-8.529108396594747
AAPL260805C00317500,317.5,17.14,17.3,19.95,0.4617973742675781,2026-08-05,call,18.625,333.0199890136719,0.2480367173288849,AAPL,16.67119810384071,-1.9538018961592911,-10.490211523002905
AAPL260805C00320000,320.0,15.85,15.35,18.0,0.4509332250976562,2026-08-05,call,16.675,333.0199890136719,0.2480367173288849,AAPL,14.526995328195028,-2.148004671804973,-12.881587237211232
AAPL260805C00322500,322.5,14.5,13.5,15.85,0.4272518212890626,2026-08-05,call,14.675,333.0199890136719,0.2480367173288849,AAPL,12.499902518065767,-2.175097481934234,-14.821788633282685
AAPL260805C00325000,325.0,11.6,11.75,13.45,0.3892883337402344,2026-08-05,call,12.6,333.0199890136719,0.2480367173288849,AAPL,10.610139195789145,-1.9898608042108545,-15.792546065165514
AAPL260805C00327500,327.5,11.0,10.1,12.85,0.4304866522216797,2026-08-05,call,11.475,333.0199890136719,0.2480367173288849,AAPL,8.875642292941961,-2.5993577070580383,-22.65235474560382
